link,holiday,title,author,rating,reviews,kindle price,paperback price,hardcover price,Reading age,Print length,Language,Grade level,Dimensions,Publisher,Publication date,ISBN-10,ISBN-13,Lexile measure,File size,Page Flip,Word Wise,Enhanced typesetting
https://www.amazon.com/Cajun-Night-Before-Christmas%C2%AE-Christmas/dp/0882899406/ref=sr_1_1?keywords=cajun+christmas+book&qid=1638921453&sr=8-1,Christmas,Cajun Night Before Christmas® (The Night Before Christmas Series),"""Trosclair"" (Author), Howard Jacobs (Editor), James Rice  (Illustrator)",4.9,1319,9.99,,16.19,5 - 8 years,48 pages,English,Kindergarten - 3,8.75 x 0.5 x 11.25 inches,Pelican Publishing,"September 30, 1992",0882899406,978-0882899404,,,,,
https://www.amazon.com/Pete-Cat-Thanksgiving-James-Dean/dp/0062198696?tag=tili07-20,Thanksgiving,Pete the Cat: The First Thanksgiving,"James Dean  (Author, Illustrator) Kimberly Dean  (Author)",4.7,2901,,5.2,,4 - 8 years,16 pages,English,Preschool - 3,7.68 x 0.14 x 7.98 inches,HarperFestival,"October 1, 2013",0062198696,978-0062198693,AD580L,,,,
https://www.amazon.com/10-Fat-Turkeys-Tony-Johnston/dp/0439459486?tag=tili07-20,Thanksgiving,10 Fat Turkeys,Tony Johnston  (Author) Rich Deas (Illustrator),4.8,1727,,5.69,,3 - 5 years,32 pages,English,Preschool - Kindergarten,7.88 x 0.1 x 7.92 inches,Scholastic,"October 1, 2004",0439459486,978-0439459488,AD440L,,,,
https://www.amazon.com/Thanksgiving-Giving-Thanks-Reading-Railroad/dp/0448422867?tag=tili07-20,Thanksgiving,Thanksgiving Is for Giving Thanks! (Reading Railroad Books),Margaret Sutherland  (Author) Sonja Lamut (Author),4.7,1099,,4.99,,3 - 5 years,24 pages,English,,8 x 0.09 x 8 inches,Grosset & Dunlap,"September 11, 2000",0448422867,978-0448422862,420L,,,,
https://www.amazon.com/Twas-Night-Before-Thanksgiving-Bookshelf/dp/0439669375?tag=tili07-20,Thanksgiving,'Twas the Night Before Thanksgiving (Scholastic Bookshelf),"Dav Pilkey  (Author, Illustrator)",4.8,611,,11.98,8.68,3 - 5 years,32 pages,English,Preschool - Kindergarten,9.75 x 0.25 x 7.75 inches,Scholastic Paperbacks,"October 1, 2004",0439669375,978-0439669375,,,,,
https://www.amazon.com/There-Was-Lady-Swallowed-Turkey/dp/0545931908?tag=tili07-20,Thanksgiving,There Was an Old Lady Who Swallowed a Turkey!,Lucille Colandro  (Author) Jared Lee (Illustrator),4.8,2180,3.99,6.1,,4 - 6 years,32 pages,English,Preschool - 1,7.7 x 0.1 x 9.6 inches,Cartwheel Books,"August 30, 2016",0545931908,978-0545931908,AD400L,,,,
https://www.amazon.com/Plump-Perky-Turkey-Teresa-Bateman/dp/0761451889?tag=tili07-20,Thanksgiving,A Plump and Perky Turkey,Teresa Bateman  (Author) Jeff Shelly (Illustrator),4.7,936,0.0,8.45,13.29,4 - 8 years,32 pages,English,Preschool - 3,8.5 x 1 x 7 inches,Two Lions,"September 6, 2013",0761451889,978-0761451884,AD860L,,,,
https://www.amazon.com/Run-Turkey-Diane-Mayr/dp/080278481X?tag=tili07-20,Thanksgiving,"Run, Turkey, Run!",Diane Mayr  (Author) Laura Rader (Illustrator),4.9,404,,12.99,17.98,4 - 7 years,32 pages,English,Preschool - 2,8.08 x 0.13 x 7.81 inches,Bloomsbury USA Childrens,"November 1, 2009",080278481X,978-0802784810,450L,,,,
https://www.amazon.com/This-First-Thanksgiving-Day-Counting/dp/0060541849?tag=tili07-20,Thanksgiving,This First Thanksgiving Day: A Counting Story,Laura Krauss Melmed  (Author) Mark Buehner (Illustrator),4.7,82,,7.99,5.97,4 - 8 years,22 pages,English,Preschool - 3,10.7 x 8.3 x 0.1 inches,HarperCollins,"September 2, 2003",0060541849,978-0060541842,,,,,
https://www.amazon.com/Turkey-Trouble-Wendi-Silvano/dp/0761455299?tag=tili07-20,Thanksgiving,Turkey Trouble,Wendi Silvano  (Author) Lee Harper  (Illustrator),4.8,4644,0.0,21.33,7.99,3 - 7 years,32 pages,English,Preschool - 2,10.63 x 1 x 10.75 inches,Two Lions,"October 1, 2009",0761455299,978-0761455295,AD470L,,,,
https://www.amazon.com/Littlest-Pilgrim-Brandi-Dougherty/dp/0545053722?tag=tili07-20,Thanksgiving,The The Littlest Pilgrim (Littlest Series),Brandi Dougherty  (Author) Kirsten Richards (Illustrator),4.6,113,,3.99,,3 - 5 years,32 pages,English,,8.25 x 0.25 x 8.25 inches,Cartwheel Books,"October 1, 2008",0545053722,978-0545053723,AD510L,,,,
https://www.amazon.com/Thanksgiving-Story-Alice-Dalgliesh/dp/0689710534?tag=tili07-20,Thanksgiving,The Thanksgiving Story,Alice Dalgliesh  (Author) Helen Sewell (Illustrator),4.6,485,7.99,21.6,18.9,5 - 8 years,32 pages,English,Kindergarten - 3,8 x 0.2 x 10 inches,Aladdin,"September 1, 1985",0689710534,978-0689710537,610L,,,,
https://www.amazon.com/Story-Pilgrims-Pictureback-R/dp/0679852921?tag=tili07-20,Thanksgiving,The Story of the Pilgrims (Pictureback(R)),"Katharine Ross (Author), Carolyn Croll  (Author)",4.7,1388,,3.99,,3 - 7 years,24 pages,English,Preschool - 2,7.94 x 0.12 x 8 inches,Random House Books for Young Readers,"September 26, 1995",0679852921,978-0679852926,,,,,
https://www.amazon.com/Squantos-Journey-Story-First-Thanksgiving/dp/0152060448?tag=tili07-20,Thanksgiving,Squanto's Journey: The Story of the First Thanksgiving,Joseph Bruchac  (Author) Greg Shed (Illustrator),4.7,465,,25.86,11.34,4 - 7 years,32 pages,English,Preschool - 3,11 x 0.1 x 9 inches,Clarion Books,"September 1, 2007",0152060448,978-0152060442,750L,,,,
https://www.amazon.com/Turkey-Claus-Wendi-Silvano/dp/0761462392?tag=tili07-20,Thanksgiving,"Turkey Claus (Turkey Trouble, 2)",Wendi Silvano  (Author) Lee Harper  (Illustrator),4.9,1644,0.0,15.99,13.95,3 - 7 years,40 pages,English,Preschool - 2,10.63 x 1 x 10.75 inches,Two Lions,"November 6, 2012",0761462392,978-0761462392,AD470L,,,,
https://www.amazon.com/T-Turkey-True-Thanksgiving-Story/dp/0843125705?tag=tili07-20,Thanksgiving,T is for Turkey: A True Thanksgiving Story,Tanya Lee Stone  (Author) Gerald Kelley (Illustrator),4.5,238,,4.99,,3 - 5 years,24 pages,English,,10 x 0.11 x 8 inches,Price Stern Sloan,"August 20, 2009",0843125705,978-0843125702,,,,,
https://www.amazon.com/Five-Silly-Turkeys-Salina-Yoon/dp/0843114169?tag=tili07-20,Thanksgiving,Five Silly Turkeys,"Salina Yoon  (Author, Illustrator)",4.8,2321,,7.99,15.79,2 - 5 years,10 pages,English,,6.25 x 0.34 x 6.9 inches,Price Stern Sloan,"August 18, 2005",0843114169,978-0843114164,,,,,
https://www.amazon.com/Thanks-Thanksgiving-Julie-Markes/dp/0060510986?tag=tili07-20,Thanksgiving,Thanks for Thanksgiving,Julie Markes  (Author) Doris Barrette (Illustrator),4.8,888,,7.99,9.6,4 - 8 years,32 pages,English,Preschool - 3,8 x 0.25 x 10 inches,HarperCollins,"August 26, 2008",0060510986,978-0060510985,AD290L,,,,
https://www.amazon.com/Thanksgiving-Thanks-Laura-Malone-Elliott/dp/0060002360?tag=tili07-20,Thanksgiving,Thanksgiving Day Thanks,"Laura Malone Elliott (Author), Lynn Munsinger (Illustrator)",4.5,6,,1.58,16.29,4 - 8 years,32 pages,English,Preschool - 3,8.1 x 0.5 x 10.1 inches,Katherine Tegen Books,"August 27, 2013",9780060002367,978-0060002367,570L,,,,
https://www.amazon.com/Thanksgiving-Gail-Gibbons-2004-06-02/dp/B01K3PQWX0?tag=tili07-20,Thanksgiving,Thanksgiving Is... by Gail Gibbons (2004-06-02),,4.0,1,,16.93,38.44,,,,,,Holiday House,"January 1, 1704",,,,,,,
https://www.amazon.com/Night-Before-Thanksgiving-Natasha-Wing/dp/0448425297?tag=tili07-20,Thanksgiving,The Night Before Thanksgiving,Natasha Wing  (Author) Tammie Lyon  (Illustrator),4.8,978,4.99,3.99,,4 - 8 years,32 pages,English,Preschool - 3,8 x 0.11 x 8 inches,Grosset & Dunlap,"August 6, 2001",0448425297,978-0448425290,AD580L,,,,
https://www.amazon.com/Thanksgiving-Rules-Laurie-Friedman/dp/0822579839?tag=tili07-20,Thanksgiving,Thanksgiving Rules,"Laurie Friedman (Author), Teresa Murfin (Illustrator)",4.3,50,0.0,28.56,,5 - 9 years,32 pages,English,Kindergarten - 3,9.75 x 0.5 x 11.25 inches,Carolrhoda Books ®,"August 1, 2009",0822579839,978-0822579830,480,,,,
https://www.amazon.com/Best-Thanksgiving-Ever-Teddy-Slater/dp/0439873908?tag=tili07-20,Thanksgiving,The Best Thanksgiving Ever!,Teddy Slater  (Author) Ethan Long (Illustrator),4.6,26,3.99,12.99,,4 - 8 years,32 pages,English,Preschool - 3,8 x 0.25 x 10 inches,Cartwheel Books,"October 1, 2007",0439873908,978-0439873901,,,,,
https://www.amazon.com/Thanksgiving-Thursday-Magic-Tree-House/dp/0375806156?tag=tili07-20,Thanksgiving,Thanksgiving on Thursday (Magic Tree House #27),Mary Pope Osborne  (Author) Sal Murdocca (Illustrator),4.9,751,5.99,493.17,,6 - 9 years,96 pages,English,1 - 4,5.19 x 0.27 x 7.69 inches,Random House Books for Young Readers,"September 24, 2002",9780375806155,978-0375806155,590L,,,,
https://www.amazon.com/Cranberry-Thanksgiving-Cranberryport-Wende-Devlin/dp/1930900635?tag=tili07-20,Thanksgiving,Cranberry Thanksgiving (Cranberryport),Wende Devlin  (Author) Harry Devlin (Illustrator),4.9,437,,10.0,17.71,5 - 8 years,32 pages,English,Preschool - 3,7.5 x 0.4 x 10 inches,Purple House Press,"September 18, 2012",1930900635,978-1930900639,,,,,
https://www.amazon.com/November-Cynthia-Rylant/dp/0152063420?tag=tili07-20,Thanksgiving,In November,Cynthia Rylant  (Author) Jill Kastner  (Illustrator),4.8,503,4.99,19.25,17.99,4 - 7 years,26 pages,English,Preschool - 3,10.01 x 9.01 x 0.1 inches,HMH Books for Young Readers,"September 1, 2008",0152063420,978-0152063429,AD530L,,,,
https://www.amazon.com/Sharing-Bread-Old-Fashioned-Thanksgiving-Story/dp/0307981827?tag=tili07-20,Thanksgiving,Sharing the Bread: An Old-Fashioned Thanksgiving Story,Pat Zietlow Miller  (Author) Jill McElmurry (Illustrator),4.8,227,4.99,,9.99,4 - 8 years,32 pages,English,Preschool - 3,9.44 x 0.39 x 10.31 inches,Schwartz & Wade,"September 22, 2015",0307981827,978-0307981820,AD340L,,,,
https://www.amazon.com/Turkey-Thanksgiving-Eve-Bunting/dp/0395742129?tag=tili07-20,Thanksgiving,A Turkey for Thanksgiving,Eve Bunting  (Author) Diane de Groat (Illustrator),4.9,617,,14.75,5.83,4 - 7 years,32 pages,English,Preschool - 3,7.75 x 0.16 x 10 inches,Clarion Books,"January 1, 1995",0395742129,978-0395742129,540L,,,,
https://www.amazon.com/If-You-Were-First-Thanksgiving/dp/0439105668?tag=tili07-20,Thanksgiving,If You Were At The First Thanksgiving,Anne Kamma  (Author) Bert Dodson (Illustrator),4.8,46,,8.0,,7 - 10 years,64 pages,English,2 - 5,9 x 0.25 x 7.5 inches,Scholastic Paperbacks,"November 1, 2001",0439105668,978-0439105668,760L,,,,
https://www.amazon.com/Thankful-Eileen-Spinelli/dp/0310000882?tag=tili07-20,Thanksgiving,Thankful,Eileen Spinelli  (Author) Archie Preston (Illustrator),4.7,496,7.99,6.5,8.99,4 - 8 years,32 pages,English,Preschool - 3,8 x 0.38 x 10.25 inches,Zonderkidz,"September 1, 2015",0310000882,978-0310000884,AD370L,,,,
https://www.amazon.com/Very-Stuffed-Turkey-Katharine-Kenah/dp/0545761093?tag=tili07-20,Thanksgiving,The Very Stuffed Turkey,Katharine Kenah  (Author) Binny Talib (Illustrator),4.7,85,3.99,12.99,,3 - 5 years,32 pages,English,Preschool - Kindergarten,8 x 0.25 x 8 inches,Cartwheel Books,"August 25, 2015",0545761093,978-0545761093,AD560L,,,,
https://www.amazon.com/My-First-Thanksgiving-Tomie-dePaola/dp/0448448572?tag=tili07-20,Thanksgiving,My First Thanksgiving,Tomie dePaola  (Author),4.7,221,5.99,5.99,12.76,3 - 5 years,14 pages,English,,7.5 x 0.37 x 8 inches,Grosset & Dunlap,"August 14, 2008",0448448572,978-0448448572,510L,,,,
https://www.amazon.com/Happy-Thanksgiving-Curious-George-tabbed/dp/0547131062?tag=tili07-20,Thanksgiving,"Happy Thanksgiving, Curious George tabbed board book",H. A. Rey (Author),4.7,604,5.99,8.99,3.95,Baby - 3 years,14 pages,English,,9 x 0.48 x 8 inches,HMH Books for Young Readers,"September 20, 2010",0547131062,978-0547131061,560L,,,,
https://www.amazon.com/First-Thanksgiving-Lift-Flap-Book/dp/1442408073?tag=tili07-20,Thanksgiving,The First Thanksgiving: A Lift-the-Flap Book,"Kathryn Lynn Davis (Author, Illustrator)",4.7,616,,5.99,,2 - 4 years,14 pages,English,Preschool and up,6 x 0.5 x 6 inches,Little Simon,"September 21, 2010",1442408073,978-1442408074,AD430L,,,,
https://www.amazon.com/Know-Lady-Swallowed-Picture-Puffins/dp/0140565957?tag=tili07-20,Thanksgiving,I Know an Old Lady Who Swallowed a Pie (Picture Puffin Books),Alison Jackson  (Author) Judy Schachner (Illustrator),4.8,666,,7.99,5.39,3 - 7 years,32 pages,English,,9 x 0.08 x 9.88 inches,Puffin Books,"September 16, 2002",0140565957,978-0140565959,NP,,,,
https://www.amazon.com/Latke-Lucky-Hanukkah-Ellen-Fischer/dp/0761390391/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512166888&sr=1-1&keywords=Latke+the+Lucky+Dog&linkCode=ll1&tag=familyeducom-20&linkId=4b7367a01a96e270539ed75efea7133f,Hanukkah,"Latke, the Lucky Dog",Ellen Fischer  (Author) Tiphanie Beeke (Illustrator),4.8,264,5.69,11.92,,2 - 8 years,24 pages,English,Preschool - 2,9.5 x 0.25 x 9.75 inches,Kar-Ben Publishing ®,"August 1, 2014",0761390391,978-0761390398,AD440L,,,,
https://www.amazon.com/Dreidel-that-Wouldnt-Spin-Hanukkah/dp/1937786285/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512166977&sr=1-1&keywords=The+Dreidel+That+Wouldn't+Spin&linkCode=ll1&tag=familyeducom-20&linkId=66fcde64af2e02497e3a986db62850d5,Hanukkah,The Dreidel that Wouldn't Spin: A Toyshop Tale of Hanukkah,Martha Seif Simpson  (Author) Durga Yael Bernhard (Illustrator),4.8,22,,,15.65,4 - 8 years,32 pages,English,Preschool - 2,8.31 x 0.4 x 10.17 inches,Wisdom Tales,"October 1, 2014",9781937786281,978-1937786281,530L,,,,
https://www.amazon.com/Sammy-Spiders-First-Hanukkah-Books/dp/0929371461/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512167413&sr=1-1&keywords=Sammy+Spider's+First+Hanukkah&linkCode=ll1&tag=familyeducom-20&linkId=a32edf9b2a5bc2cf03f3795c7cb3ff19,Hanukkah,Sammy Spider's First Hanukkah,Sylvia A. Rouss  (Author) Katherine Janus Kahn (Illustrator),4.7,109,7.59,7.99,,3 - 9 years,32 pages,English,Preschool - 3,8.5 x 0.25 x 11.25 inches,Kar-Ben Publishing ®,"August 1, 1993",9780929371467,978-0929371467,,,,,
https://www.amazon.com/Moishes-Miracle-Laura-Krauss-Melmed/dp/0688146821/ref=as_li_ss_tl?ie=UTF8&qid=1512167799&sr=8-1&keywords=Moishe's+Miracle:+A+Hanukkah+Story&linkCode=ll1&tag=familyeducom-20&linkId=284495cb6ff0b0963c4294198a11a69c,Hanukkah,Moishe's Miracle: A Hanukkah Story,Laura Krauss Melmed  (Author) David Slonim  (Illustrator),4.9,20,6.99,5.98,6.97,4 - 8 years,32 pages,English,Preschool - 2,11 x 0.25 x 9.25 inches,HarperCollins,"October 31, 2000",0688146821,978-0688146825,,,,,
https://www.amazon.com/Flying-Latke-Arthur-Yorinks/dp/1534409483/ref=as_li_ss_tl?_encoding=UTF8&qid=1512167927&sr=1-1&linkCode=ll1&tag=familyeducom-20&linkId=b421421fc661f9400f34af9ca6a6d6f8,Hanukkah,The Flying Latke,Arthur Yorinks  (Author) William Steig (Illustrator),4.9,13,,13.99,1.55,5 - 8 years,32 pages,English,Preschool - 3,8.5 x 0.2 x 11 inches,Simon & Schuster Books for Young Readers,"January 28, 2017",1534409483,978-1534409484,,,,,
https://www.amazon.com/Happy-Hanukkah-Corduroy-Don-Freeman/dp/0670011274/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1511973660&sr=1-1&keywords=The+Hannukah+Bear&linkCode=ll1&tag=familyeducom-20&linkId=b295e5f68262db598af76c8e62a4e257,Hanukkah,"Happy Hanukkah, Corduroy",Don Freeman  (Author) Lisa McCue (Illustrator),4.7,133,,6.99,,Baby - 2 years,16 pages,English,,6.06 x 0.41 x 7 inches,Viking Books for Young Readers,"October 1, 2009",0670011274,978-0670011278,,,,,
"https://www.amazon.com/Happy-Hanukkah-Curious-George-tabbed/dp/054775731X/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512165527&sr=1-1&keywords=Happy+Hanukkah,+Curious+George&linkCode=ll1&tag=familyeducom-20&linkId=db3c2d66e51da243fc205aa903bccd28",Hanukkah,"Happy Hanukkah, Curious George tabbed board book","H. A. Rey (Author), Margret Rey (Author)",4.8,493,5.99,7.23,,Baby - 3 years,14 pages,English,,9 x 0.51 x 8 inches,HMH Books for Young Readers,"September 18, 2012",054775731X,978-0547757315,,,,,
"https://www.amazon.com/Dear-Santa-Love-Rachel-Rosenstein/dp/0553510614/ref=as_li_ss_tl?s=books&ie=UTF8&qid=1512165466&sr=1-1&keywords=Dear+Santa,+Love,+Rachel+Rosenstein&linkCode=ll1&tag=familyeducom-20&linkId=f3093d9b2a0c12a4e85cd93c7c3a3283",Hanukkah,"Dear Santa, Love, Rachel Rosenstein","Amanda Peet (Author), Andrea Troyer (Author), Christine Davenier (Illustrator)",4.3,63,5.99,,7.98,3 - 7 years,40 pages,English,Preschool - 2,9.81 x 0.33 x 9.81 inches,Doubleday Books for Young Readers,"October 20, 2015",0553510614,978-0553510614,AD620L,,,,
https://www.amazon.com/gp/product/B081435LCQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B081435LCQ&linkCode=as2&tag=familyeducom-20&linkId=8fac947ea77f04cfb889e37b398cdf19,Kwanzaa,"Let's Celebrate Kwanzaa!: An Introduction To The Pan-Afrikan Holiday, Kwanzaa, For The Whole Family","Arielle Phoenix  (Author, Illustrator)",4.8,67,3.99,11.49,,Baby - 18 years,35 pages,English,,,,"November 6, 2019",,,,19560 KB,Not Enabled,Not Enabled,Not Enabled
https://www.amazon.com/gp/product/B081435LCQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B081435LCQ&linkCode=as2&tag=familyeducom-20&linkId=f08f4d4e4c5f650547229216db340667,Kwanzaa,"Let's Celebrate Kwanzaa!: An Introduction To The Pan-Afrikan Holiday, Kwanzaa, For The Whole Family","Arielle Phoenix  (Author, Illustrator)",4.8,67,3.99,11.49,,Baby - 18 years,35 pages,English,,,,"November 6, 2019",,,,19560 KB,Not Enabled,Not Enabled,Not Enabled
https://www.amazon.com/gp/product/0060728167/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0060728167&linkCode=as2&tag=familyeducom-20&linkId=512d11b457a17289b8f2cec1d99c8bfa,Kwanzaa,Li'l Rabbit's Kwanzaa,Donna L. Washington  (Author) Shane W. Evans (Illustrator),4.8,156,,7.99,10.99,4 - 8 years,32 pages,English,Preschool - 2,10.25 x 0.5 x 10.25 inches,Katherine Tegen Books,"September 28, 2010",0060728167,978-0060728168,AD550L,,,,
https://www.amazon.com/gp/product/0060728167/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0060728167&linkCode=as2&tag=familyeducom-20&linkId=86ae54030863ead757f62c1e13d227e1,Kwanzaa,Li'l Rabbit's Kwanzaa,Donna L. Washington  (Author) Shane W. Evans (Illustrator),4.8,156,,7.99,10.99,4 - 8 years,32 pages,English,Preschool - 2,10.25 x 0.5 x 10.25 inches,Katherine Tegen Books,"September 28, 2010",0060728167,978-0060728168,AD550L,,,,
https://www.amazon.com/gp/product/1250050464/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1250050464&linkCode=as2&tag=familyeducom-20&linkId=e0e4d6e3251b7f60e1aba2365dd8f112,Kwanzaa,My First Kwanzaa (My First Holiday),"Karen Katz  (Author, Illustrator)",4.8,345,,6.09,49.0,2 - 5 years,32 pages,English,Preschool - Kindergarten,7.99 x 0.1 x 8.91 inches,Square Fish,"October 14, 2014",1250050464,978-1250050465,AD580L,,,,
https://www.amazon.com/gp/product/1250050464/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1250050464&linkCode=as2&tag=familyeducom-20&linkId=13a38957f1f7d94ad2b048663c73ac8c,Kwanzaa,My First Kwanzaa (My First Holiday),"Karen Katz  (Author, Illustrator)",4.8,345,,6.09,49.0,2 - 5 years,32 pages,English,Preschool - Kindergarten,7.99 x 0.1 x 8.91 inches,Square Fish,"October 14, 2014",1250050464,978-1250050465,AD580L,,,,
https://www.amazon.com/gp/product/1426328494/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1426328494&linkCode=as2&tag=familyeducom-20&linkId=814f84629324d1dc81655a043a5ed80d,Kwanzaa,Holidays Around the World: Celebrate Kwanzaa,Carolyn Otto  (Author),4.8,144,,7.99,,6 - 9 years,32 pages,English,1 - 4,8.5 x 0.13 x 10 inches,National Geographic Kids,"September 5, 2017",1426328494,978-1426328497,780L,,,,
https://www.amazon.com/gp/product/1426328494/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1426328494&linkCode=as2&tag=familyeducom-20&linkId=3637bcf2ef0ccfc5fb29adfc01336e1c,Kwanzaa,Holidays Around the World: Celebrate Kwanzaa,Carolyn Otto  (Author),4.8,144,,7.99,,6 - 9 years,32 pages,English,1 - 4,8.5 x 0.13 x 10 inches,National Geographic Kids,"September 5, 2017",1426328494,978-1426328497,780L,,,,
https://www.amazon.com/gp/product/1699236003/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1699236003&linkCode=as2&tag=familyeducom-20&linkId=03bcaae44b7390f5071f638c1d879ba5,Kwanzaa,Kwanzaa Coloring Book For Kids: Fun Activity For Young Children To Celebrate Kwanzaa Boys And Girls Will Learn And Ask Questions About This Important Holiday,Special Memories Journals (Author),5.0,3,,5.99,,,45 pages,English,,8.5 x 0.11 x 11 inches,,"October 11, 2019",1699236003,978-1699236000,,,,,
https://www.amazon.com/gp/product/1699236003/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1699236003&linkCode=as2&tag=familyeducom-20&linkId=9e8b12903ba4aa75914cb0dbcaa88c37,Kwanzaa,Kwanzaa Coloring Book For Kids: Fun Activity For Young Children To Celebrate Kwanzaa Boys And Girls Will Learn And Ask Questions About This Important Holiday,Special Memories Journals (Author),5.0,3,,5.99,,,45 pages,English,,8.5 x 0.11 x 11 inches,,"October 11, 2019",1699236003,978-1699236000,,,,,
